key,kind,flag,english,urdu_draft,urdu_final_(edit_here),polish_draft,polish_final_(edit_here),notes
detail.sugarDetective.kindSingular,js_template,,kind,قسم,,rodzaj,,Singular form used when found.length === 1
detail.sugarDetective.kindPlural,js_template,,kinds,اقسام,,rodzaje,,Plural form used when found.length !== 1
detail.sugar.detective_body,js_template,,The label for {productName} may seem straightforward. But I found: {aliasList}. That's {count} {kindOrKinds} of sugar hiding in plain sight. Now you know.,{productName} کا لیبل سادہ لگ سکتا ہے۔ لیکن مجھے یہ ملا: {aliasList}۔ یہ چینی کی {count} {kindOrKinds} ہیں جو نظروں کے سامنے چھپی ہوئی ہیں۔ اب آپ جان گئے۔,,Etykieta produktu {productName} może wydawać się prosta. Ale znalazłem: {aliasList}. To {count} {kindOrKinds} cukru ukrytych na widoku. Teraz już wiesz.,,First pass captured this sentence TRUNCATED ('...Now you ' with trailing space) because the read was clipped at 300 chars. The actual literal ends 'Now you know.' — the trailing 'know.' was missed. The translatable unit must include the full ending.
nutrient.label.sugar,js_template,,sugar,چینی,,cukier,,nutrientLabel value used inside alternatives header/card sentences
nutrient.label.salt,js_template,,salt,نمک,,sól,,nutrientLabel value used inside alternatives header/card sentences
alternatives.card.stat,js_template,,{value}g {nutrient} per 100g,{value}g {nutrient} فی 100g,,{value} g {nutrient} na 100 g,,alt-card-stat; nutrient is 'sugar' or 'salt' (nutrientLabel); value is a.value.toFixed(1)
alternatives.header.text,js_template,,KiP! KiP! This one's high in {nutrient}. But I've found something better.,KiP! KiP! اس میں {nutrient} زیادہ ہے۔ لیکن مجھے کچھ بہتر مل گیا ہے۔,,KiP! KiP! Ten ma dużo {nutrient}. Ale znalazłem coś lepszego.,,SaK speech-bubble header in alt-section; nutrient is 'sugar' or 'salt'
result.value.tracker.sugar,js_template,,{sugar}g / {limit}g,{sugar}g / {limit}g,,{sugar} g / {limit} g,,Daily tracker sugar value readout (tracker-sugar-val.textContent)
result.value.tracker.salt,js_template,,{salt}g / {limit}g,{salt}g / {limit}g,,{salt} g / {limit} g,,Daily tracker salt value readout (tracker-salt-val.textContent)
stats.todaysLog.label,js_literal,,Today's Log,آج کا لاگ,,Dzisiejszy dziennik,,section label in showWeeklyStats
stats.sugar.summary,js_template,,Sugar: {sugar}g of {limit}g limit ({pct}%),چینی: {limit}g کی حد میں سے {sugar}g ({pct}%),,Cukier: {sugar} g z limitu {limit} g ({pct}%),,
stats.salt.summary,js_template,,Salt: {salt}g of {limit}g limit ({pct}%),نمک: {limit}g کی حد میں سے {salt}g ({pct}%),,Sól: {salt} g z limitu {limit} g ({pct}%),,
stats.items.scannedToday,js_template,,{count} {itemWord} scanned today,آج {count} {itemWord} اسکین کیے گئے,,Dziś zeskanowano: {count} {itemWord},,itemWord = 'item' (singular) or 'items' (plural)
stats.items.singular,js_literal,,item,آئٹم,,produkt,,
stats.items.plural,js_literal,,items,آئٹمز,,produktów,,
stats.itemsToday.label,js_literal,,Items today,آج کے آئٹمز,,Produkty dzisiaj,,
stats.item.nutrients,js_template,,Sugar: {sugar}g | Salt: {salt}g,چینی: {sugar}g | نمک: {salt}g,,Cukier: {sugar} g | Sól: {salt} g,,per-item line in items-today list
stats.thisWeek.label,js_literal,,This Week,اس ہفتے,,W tym tygodniu,,section label preceding weekly table (contains table markup)
stats.table.header.date,html_text,,Date,تاریخ,,Data,,weekly table <th>
stats.table.header.items,html_text,,Items,آئٹمز,,Produkty,,weekly table <th>
result.product.unknownName,js_literal,,Unknown Product,نامعلوم پروڈکٹ,,Nieznany produkt,,fallback product name; also used at line ~3061 in recordDecision
result.name.withBrand,js_template,,{name} - {brand},{name} - {brand},,{name} - {brand},,result-name text; brand suffix optional
result.alt.spinner.searching,js_literal,,Looking for better alternatives...,بہتر متبادل تلاش کیے جا رہے ہیں...,,Szukam lepszych alternatyw...,,spinner label while fetching alternatives
result.i500.badge.title,js_template,,From the I500,I500 سے,,Z I500,,I500 provenance badge <strong>; sits in HTML template
result.i500.badge.verified,js_template,,{id} &middot; Label-verified,{id} &middot; لیبل سے تصدیق شدہ,,{id} &middot; Zweryfikowane z etykiety,,I500 badge subtext; uses HTML entity &middot;
result.i500.badge.notInOFF,js_template,, · Not in Open Food Facts, · Open Food Facts میں نہیں,, · Brak w Open Food Facts,,appended to I500 badge subtext when inOFF===false; HTML entity &middot;
result.verdict.kipSays.prefix,js_template,,KiP says: ,KiP کہتا ہے: ,,KiP mówi: ,,verdict banner <strong> prefix before verdict word
result.verdict.green,js_template,,Good to go,ٹھیک ہے، جا سکتے ہیں,,Można brać,,verdict word for green
result.verdict.amber,js_template,,One thing to know,ایک بات جاننے کی ہے,,Jedno warto wiedzieć,,verdict word for amber
result.verdict.red,js_template,,High - check this one,زیادہ - اسے چیک کریں,,Wysoki - sprawdź ten,,verdict word for red
result.section.per100g,html_text,,Per 100g,فی 100g,,Na 100g,,section label in result template
result.nutriCard.fat,js_literal,,Fat,چکنائی,,Tłuszcz,,nutriCard label arg
result.nutriCard.satFat,js_literal,,Sat Fat,سیر شدہ چکنائی,,Tł. nasycone,,nutriCard label arg
result.decision.prompt,html_text,,What will you do with this?,آپ اِس کے ساتھ کیا کریں گے؟,,Co z tym zrobisz?,,decision-label
result.decision.buy,html_text,,Buy,خریدیں,,Kup,,decision button label
result.decision.buy.sub,html_text,,goes in basket,ٹوکری میں جائے گا,,trafia do koszyka,,decision-sub
result.decision.putBack,html_text,,Put back,واپس رکھیں,,Odłóż,,decision button label
result.decision.putBack.sub,html_text,,KiP saved you,KiP نے آپ کو بچا لیا,,KiP cię uratował,,decision-sub
result.decision.justLooking,html_text,,Just looking,صرف دیکھ رہے ہیں,,Tylko oglądam,,decision button label
result.decision.justLooking.sub,html_text,,no decision,کوئی فیصلہ نہیں,,brak decyzji,,decision-sub
result.btn.drRootExplain,js_template,,Dr RooT - explain this to me,Dr RooT - یہ مجھے سمجھائیں,,Dr RooT - wyjaśnij mi to,,button text preceded by drRootAvatar icon
result.btn.scanNext,html_text,,Scan next,اگلا اسکین کریں,,Skanuj kolejny,,primary button
result.btn.done,html_text,,Done,ہو گیا,,Gotowe,,outline button
result.disclaimer.dataSource,js_template,,Data from Open Food Facts. Not medical advice.,ڈیٹا Open Food Facts سے۔ یہ طبی مشورہ نہیں ہے۔,,Dane z Open Food Facts. To nie jest porada medyczna.,,footer disclaimer; followed by <br> and optional profile line
result.disclaimer.profileActive,js_template,,{profile} profile active,{profile} پروفائل فعال ہے,,Profil {profile} aktywny,,shown when state.profile set; profile via profileLabel()
result.decision.toast.buy,js_literal,,Added to today,آج میں شامل کر دیا,,Dodano do dzisiaj,,decision toast for buy
result.decision.toast.putBack,js_literal,,Noted: put back,نوٹ کر لیا: واپس رکھ دیا,,Zanotowano: odłożono,,decision toast
result.decision.toast.viewed,js_literal,,Noted: just looking,نوٹ کر لیا: صرف دیکھ رہے ہیں,,Zanotowano: tylko oglądam,,decision toast
result.nova.label.1,js_literal,,Unprocessed,غیر پروسیس شدہ,,Nieprzetworzone,,NOVA group 1 label
result.nova.label.2,js_literal,,Processed ingredients,پروسیس شدہ اجزاء,,Przetworzone składniki,,NOVA group 2 label
result.nova.label.3,js_literal,,Processed,پروسیس شدہ,,Przetworzone,,NOVA group 3 label
result.nova.label.4,js_literal,,Ultra-processed,انتہائی پروسیس شدہ,,Wysoko przetworzone,,NOVA group 4 label
result.nutriScore.title,js_template,,Nutri-Score,Nutri-Score,,Nutri-Score,,score badge title
result.nova.label.unknown,js_template,,Unknown,نامعلوم,,Nieznane,,NOVA fallback label
result.nova.title,js_template,,NOVA Group,NOVA گروپ,,Grupa NOVA,,score badge title
result.nutriCard.value.unknown,js_template,,?,؟,,?,,nutriCard display when value null
result.nutriCard.dataUnavailable,js_template,,data unavailable,ڈیٹا دستیاب نہیں,,brak danych,,nutriCard sublabel when value null
result.verdict.green.diabetes,js_template,,{name} looks fine for sugar. Green across the board for your profile.,{name} چینی کے لحاظ سے ٹھیک لگتا ہے۔ آپ کے پروفائل کے لیے ہر طرف سے سبز۔,,{name} wygląda dobrze pod względem cukru. Zielony na całej linii dla twojego profilu.,,buildKipVerdict green + diabetes profile
result.verdict.green.hypertension,js_template,,{name} is low in salt. Good choice for your blood pressure.,{name} میں نمک کم ہے۔ آپ کے بلڈ پریشر کے لیے اچھا انتخاب۔,,{name} ma mało soli. Dobry wybór dla twojego ciśnienia krwi.,,buildKipVerdict green + hypertension profile
result.sak.alert.title,html_text,,KiP! KiP! High alert.,KiP! KiP! اہم انتباہ۔,,KiP! KiP! Alarm.,,SaK alert <strong>; closing tag rendered just after line 3180 (buildSakAlert spans 3196-3185 region into 3181)
result.verdict.green.default,js_template,,{name} looks fine. Green on the key nutrients for your profile.,{name} ٹھیک لگتا ہے۔ آپ کے پروفائل کے لیے اہم غذائی اجزاء پر سبز۔,,{name} wygląda dobrze. Zielony na kluczowych składnikach odżywczych dla twojego profilu.,,buildKipVerdict green default
result.sak.alert.body,js_template,,This one's flagged: {items}. That's above what I'd want to see for your profile. Check own-brand or community alternatives.,اِس پر نشان لگا ہے: {items}۔ یہ آپ کے پروفائل کے لیے میری توقع سے زیادہ ہے۔ اون-برانڈ یا کمیونٹی متبادل دیکھیں۔,,"To produkt z ostrzeżeniem: {items}. To więcej, niż chciałbym widzieć dla twojego profilu. Sprawdź marki własne lub alternatywy społeczności.",,SaK alert body; items = list joined by ' and '
result.verdict.amber.2,js_template,,{name} has something worth knowing. Check the numbers below before you decide.,{name} میں کچھ جاننے کے قابل بات ہے۔ فیصلہ کرنے سے پہلے نیچے دیے گئے اعداد دیکھیں۔,,"{name} ma coś, co warto wiedzieć. Sprawdź liczby poniżej, zanim zdecydujesz.",,buildKipVerdict amber
result.verdict.red.2,js_template,,{name} is high in {items}. Worth looking at the alternatives.,{name} میں {items} زیادہ ہے۔ متبادل دیکھنا قابلِ غور ہے۔,,{name} ma dużo {items}. Warto przyjrzeć się alternatywom.,,buildKipVerdict red; items = 'salt'/'sugar'/'salt and sugar'
detail.row.energy,js_literal,,Energy,توانائی,,Energia,,
detail.row.energyKj,js_literal,,Energy (kJ),توانائی (kJ),,Energia (kJ),,
detail.row.fatTotal,js_literal,,Fat (total),چکنائی (کل),,Tłuszcz (ogółem),,
detail.row.saturatedFat,js_literal,,Saturated fat,سیر شدہ چکنائی,,Tłuszcze nasycone,,
detail.row.transFat,js_literal,,Trans fat,ٹرانس چکنائی,,Tłuszcze trans,,
detail.row.cholesterol,js_literal,,Cholesterol,کولیسٹرول,,Cholesterol,,
detail.row.carbohydrates,js_literal,,Carbohydrates,کاربوہائیڈریٹس,,Węglowodany,,
detail.row.ofWhichSugars,js_literal,,of which sugars,جن میں سے شکر,,w tym cukry,,
detail.row.fibre,js_literal,,Fibre,ریشہ,,Błonnik,,
detail.row.protein,js_literal,,Protein,پروٹین,,Białko,,
detail.row.sodium,js_literal,HEALTH-CHECK,Sodium,سوڈیم,,Sód,,
detail.row.calcium,js_literal,,Calcium,کیلشیم,,Wapń,,
detail.row.iron,js_literal,,Iron,آئرن,,Żelazo,,
detail.row.vitaminD,js_literal,HEALTH-CHECK,Vitamin D,وٹامن D,,Witamina D,,
detail.row.vitaminC,js_literal,HEALTH-CHECK,Vitamin C,وٹامن C,,Witamina C,,
detail.row.vitaminA,js_literal,HEALTH-CHECK,Vitamin A,وٹامن A,,Witamina A,,
detail.ingredients.label,js_template,,Ingredients,اجزاء,,Składniki,,"section label; followed by escaped product ingredients_text (data, not translatable)"
detail.section.fullNutritionalData,html_text,,Full Nutritional Data - per 100g,مکمل غذائی معلومات - فی 100g,,Pełne dane odżywcze – na 100g,,
detail.table.header.nutrient,html_text,,Nutrient,غذائی جزو,,Składnik odżywczy,,
detail.trafficLight.legend,js_template,,Red = high. Amber = medium. Green = low. Based on FSA thresholds{profileSuffix}.,سرخ = زیادہ۔ کہربائی = درمیانہ۔ سبز = کم۔ FSA کی حدود پر مبنی{profileSuffix}۔,,Czerwony = wysoki. Bursztynowy = średni. Zielony = niski. Na podstawie progów FSA{profileSuffix}.,,profileSuffix = ' adjusted for your {profileLabel} profile' when a profile is set
detail.trafficLight.legend.profileSuffix,js_template,, adjusted for your {profileLabel} profile, آپ کے {profileLabel} پروفائل کے مطابق ایڈجسٹ کیا گیا,, dostosowane do Twojego profilu {profileLabel},,conditional fragment appended to legend
detail.source.disclaimer,html_text,,Source: Open Food Facts. Data may vary. Always check the physical label. Not medical advice.,ماخذ: Open Food Facts۔ ڈیٹا مختلف ہو سکتا ہے۔ ہمیشہ حقیقی لیبل چیک کریں۔ یہ طبی مشورہ نہیں ہے۔,,Źródło: Open Food Facts. Dane mogą się różnić. Zawsze sprawdzaj fizyczną etykietę. To nie jest porada medyczna.,,
detail.allergens.label,js_template,,Allergens:,الرجی پیدا کرنے والے اجزاء:,,Alergeny:,,<strong>; followed by comma-joined allergen names derived from data
detail.drroot.salt.red.hypertension,js_template,HEALTH-CHECK,"Salt is high at {salt}g per 100g. For hypertension, the NHS recommends no more than 6g of salt per day. Reducing salt intake can lower systolic blood pressure by up to 5mmHg.",نمک زیادہ ہے، فی 100g میں {salt}g۔ بلند فشارِ خون کے لیے، NHS کی سفارش ہے کہ روزانہ 6g سے زیادہ نمک نہ لیا جائے۔ نمک کی مقدار کم کرنے سے سسٹولک بلڈ پریشر 5mmHg تک کم ہو سکتا ہے۔,,Sól jest wysoka – {salt}g na 100g. W przypadku nadciśnienia NHS zaleca nie więcej niż 6g soli dziennie. Ograniczenie spożycia soli może obniżyć skurczowe ciśnienie krwi nawet o 5mmHg.,,
detail.drroot.salt.red.general,js_template,HEALTH-CHECK,"Salt is high at {salt}g per 100g. The NHS recommends adults eat no more than 6g of salt per day. Too much salt raises blood pressure, which increases risk of stroke and heart disease.",نمک زیادہ ہے، فی 100g میں {salt}g۔ NHS کی سفارش ہے کہ بالغ افراد روزانہ 6g سے زیادہ نمک نہ کھائیں۔ بہت زیادہ نمک بلڈ پریشر بڑھاتا ہے، جس سے فالج اور دل کی بیماری کا خطرہ بڑھ جاتا ہے۔,,"Sól jest wysoka – {salt}g na 100g. NHS zaleca, aby dorośli spożywali nie więcej niż 6g soli dziennie. Zbyt duża ilość soli podnosi ciśnienie krwi, co zwiększa ryzyko udaru i chorób serca.",,
detail.drroot.salt.amber,js_template,HEALTH-CHECK,"Salt is {salt}g per 100g, which is medium. The NHS recommends adults eat no more than 6g of salt per day. Worth keeping an eye on your total daily intake.",نمک فی 100g میں {salt}g ہے، جو درمیانہ ہے۔ NHS کی سفارش ہے کہ بالغ افراد روزانہ 6g سے زیادہ نمک نہ کھائیں۔ اپنی روزانہ کی کل مقدار پر نظر رکھنا اچھا ہے۔,,"Sól wynosi {salt}g na 100g, czyli średnio. NHS zaleca, aby dorośli spożywali nie więcej niż 6g soli dziennie. Warto mieć na oku swoje całkowite dzienne spożycie.",,
detail.drroot.salt.green,js_template,HEALTH-CHECK,Salt is low at {salt}g per 100g. Good choice for keeping sodium in check.,نمک کم ہے، فی 100g میں {salt}g۔ سوڈیم کو قابو میں رکھنے کے لیے اچھا انتخاب۔,,"Sól jest niska – {salt}g na 100g. Dobry wybór, aby utrzymać sód pod kontrolą.",,
detail.drroot.sugar.red.diabetes,js_template,HEALTH-CHECK,"Sugar is high at {sugar}g per 100g. For people managing Type 2 diabetes, reducing sugar intake helps with blood glucose control. Research shows every 10% increase in ultra-processed food consumption links to a 17% increase in T2D risk.",چینی زیادہ ہے، فی 100g میں {sugar}g۔ ٹائپ 2 ذیابیطس کا انتظام کرنے والوں کے لیے، چینی کی مقدار کم کرنا خونی گلوکوز کے قابو میں مدد دیتا ہے۔ تحقیق سے ظاہر ہوتا ہے کہ انتہائی پراسیس شدہ خوراک کی کھپت میں ہر 10% اضافہ T2D کے خطرے میں 17% اضافے سے منسلک ہے۔,,"Cukier jest wysoki – {sugar}g na 100g. Dla osób kontrolujących cukrzycę typu 2 ograniczenie spożycia cukru pomaga w kontroli poziomu glukozy we krwi. Badania pokazują, że każde 10% wzrostu spożycia żywności wysoko przetworzonej wiąże się z 17% wzrostem ryzyka cukrzycy typu 2.",,
detail.drroot.sugar.red.general,js_template,HEALTH-CHECK,Sugar is high at {sugar}g per 100g. The NHS recommends adults have no more than 30g of free sugars per day. That is roughly 7.5 teaspoons.,چینی زیادہ ہے، فی 100g میں {sugar}g۔ NHS کی سفارش ہے کہ بالغ افراد روزانہ 30g سے زیادہ آزاد شکر (free sugars) نہ لیں۔ یہ تقریباً 7.5 چائے کے چمچ ہیں۔,,"Cukier jest wysoki – {sugar}g na 100g. NHS zaleca, aby dorośli spożywali nie więcej niż 30g cukrów wolnych dziennie. To około 7,5 łyżeczki.",,
detail.drroot.sugar.amber,js_template,HEALTH-CHECK,"Sugar is {sugar}g per 100g, which is medium. The NHS recommends no more than 30g of free sugars per day (about 7.5 teaspoons). Factor this into your daily total.",چینی فی 100g میں {sugar}g ہے، جو درمیانہ ہے۔ NHS کی سفارش ہے کہ روزانہ 30g سے زیادہ آزاد شکر (تقریباً 7.5 چائے کے چمچ) نہ لیں۔ اسے اپنی روزانہ کی کل مقدار میں شمار کریں۔,,"Cukier wynosi {sugar}g na 100g, czyli średnio. NHS zaleca nie więcej niż 30g cukrów wolnych dziennie (około 7,5 łyżeczki). Uwzględnij to w swoim dziennym bilansie.",,
detail.drroot.sugar.green,js_template,,Sugar is low at {sugar}g per 100g. This is well within healthy limits.,چینی کم ہے، فی 100g میں {sugar}g۔ یہ صحت مند حدود کے اندر بخوبی ہے۔,,Cukier jest niski – {sugar}g na 100g. To mieści się w zdrowych granicach.,,
detail.drroot.fat.red,js_template,HEALTH-CHECK,Total fat is high at {fat}g per 100g. The NHS recommends adults have no more than 70g of fat per day.,کل چکنائی زیادہ ہے، فی 100g میں {fat}g۔ NHS کی سفارش ہے کہ بالغ افراد روزانہ 70g سے زیادہ چکنائی نہ لیں۔,,"Tłuszcz całkowity jest wysoki – {fat}g na 100g. NHS zaleca, aby dorośli spożywali nie więcej niż 70g tłuszczu dziennie.",,
detail.drroot.fat.amber,js_template,HEALTH-CHECK,"Total fat is {fat}g per 100g, which is medium. Keep an eye on your total daily fat intake.",کل چکنائی فی 100g میں {fat}g ہے، جو درمیانہ ہے۔ اپنی روزانہ کی کل چکنائی کی مقدار پر نظر رکھیں۔,,"Tłuszcz całkowity wynosi {fat}g na 100g, czyli średnio. Miej na oku swoje całkowite dzienne spożycie tłuszczu.",,
detail.drroot.fat.green,js_template,,Total fat is low at {fat}g per 100g.,کل چکنائی کم ہے، فی 100g میں {fat}g۔,,Tłuszcz całkowity jest niski – {fat}g na 100g.,,
detail.drroot.satfat.red,js_template,HEALTH-CHECK,Saturated fat is high at {satFat}g per 100g. The NHS recommends men eat no more than 30g and women no more than 20g of saturated fat per day. Too much saturated fat raises LDL cholesterol.,سیر شدہ چکنائی زیادہ ہے، فی 100g میں {satFat}g۔ NHS کی سفارش ہے کہ مرد روزانہ 30g سے زیادہ اور خواتین 20g سے زیادہ سیر شدہ چکنائی نہ کھائیں۔ بہت زیادہ سیر شدہ چکنائی LDL کولیسٹرول بڑھاتی ہے۔,,"Tłuszcze nasycone są wysokie – {satFat}g na 100g. NHS zaleca, aby mężczyźni spożywali nie więcej niż 30g, a kobiety nie więcej niż 20g tłuszczów nasyconych dziennie. Zbyt duża ilość tłuszczów nasyconych podnosi poziom cholesterolu LDL.",,
detail.drroot.satfat.amber,js_template,HEALTH-CHECK,"Saturated fat is {satFat}g per 100g, which is medium. Saturated fat raises LDL cholesterol, so worth watching your daily total.",سیر شدہ چکنائی فی 100g میں {satFat}g ہے، جو درمیانہ ہے۔ سیر شدہ چکنائی LDL کولیسٹرول بڑھاتی ہے، اس لیے اپنی روزانہ کی کل مقدار پر نظر رکھنا اچھا ہے۔,,"Tłuszcze nasycone wynoszą {satFat}g na 100g, czyli średnio. Tłuszcze nasycone podnoszą poziom cholesterolu LDL, więc warto pilnować dziennego bilansu.",,
detail.drroot.satfat.green,js_template,,Saturated fat is low at {satFat}g per 100g. Good for heart health.,سیر شدہ چکنائی کم ہے، فی 100g میں {satFat}g۔ دل کی صحت کے لیے اچھا۔,,Tłuszcze nasycone są niskie – {satFat}g na 100g. Dobre dla zdrowia serca.,,
detail.drroot.carbs.base,js_template,,Carbohydrates: {carbs}g per 100g.,کاربوہائیڈریٹس: فی 100g میں {carbs}g۔,,Węglowodany: {carbs}g na 100g.,,
detail.drroot.carbs.diabetesSuffix,js_template,HEALTH-CHECK," For people managing diabetes, tracking carbohydrate intake is important as carbs have the most direct impact on blood glucose levels.", ذیابیطس کا انتظام کرنے والوں کے لیے، کاربوہائیڈریٹ کی مقدار پر نظر رکھنا اہم ہے کیونکہ کاربز کا خونی گلوکوز کی سطح پر سب سے زیادہ براہِ راست اثر پڑتا ہے۔,," Dla osób kontrolujących cukrzycę śledzenie spożycia węglowodanów jest ważne, ponieważ to węglowodany mają najbardziej bezpośredni wpływ na poziom glukozy we krwi.",,conditional fragment appended to carbs.base
detail.drroot.protein,js_template,HEALTH-CHECK,Protein: {protein}g per 100g. The NHS recommends about 50g of protein per day for adults.,پروٹین: فی 100g میں {protein}g۔ NHS کی سفارش ہے کہ بالغ افراد روزانہ تقریباً 50g پروٹین لیں۔,,Białko: {protein}g na 100g. NHS zaleca dorosłym około 50g białka dziennie.,,
detail.drroot.fibre,js_template,HEALTH-CHECK,Fibre: {fibre}g per 100g. The NHS recommends 30g of fibre per day. Most adults in the UK only get about 18g.,فائبر: فی 100g میں {fibre}g۔ NHS کی سفارش ہے کہ روزانہ 30g فائبر لیا جائے۔ برطانیہ میں زیادہ تر بالغ افراد صرف تقریباً 18g ہی لیتے ہیں۔,,Błonnik: {fibre}g na 100g. NHS zaleca 30g błonnika dziennie. Większość dorosłych w Wielkiej Brytanii spożywa tylko około 18g.,,
detail.drroot.fibre.goodSourceSuffix,js_template,, This is a good source of fibre., یہ فائبر کا ایک اچھا ذریعہ ہے۔,, To dobre źródło błonnika.,,appended when fibre >= 6
detail.drroot.energy,js_template,HEALTH-CHECK,"Energy: {energy} kcal per 100g. The daily reference intake is around 2,000 kcal for women and 2,500 kcal for men.","توانائی: فی 100g میں {energy} kcal۔ روزانہ کی حوالہ جاتی مقدار خواتین کے لیے تقریباً 2,000 kcal اور مردوں کے لیے 2,500 kcal ہے۔",,Energia: {energy} kcal na 100g. Dzienne referencyjne spożycie wynosi około 2 000 kcal dla kobiet i 2 500 kcal dla mężczyzn.,,
detail.drroot.transfat.high,js_template,HEALTH-CHECK,"Trans fat: {transFat}g per 100g. The WHO recommends limiting trans fat to less than 1% of total energy intake. Trans fats raise LDL (""bad"") cholesterol and lower HDL (""good"") cholesterol, increasing heart disease risk.","ٹرانس چکنائی: فی 100g میں {transFat}g۔ WHO کی سفارش ہے کہ ٹرانس چکنائی کو کل توانائی کی مقدار کے 1% سے کم تک محدود رکھا جائے۔ ٹرانس چکنائیاں LDL (""بری"") کولیسٹرول بڑھاتی ہیں اور HDL (""اچھی"") کولیسٹرول کم کرتی ہیں، جس سے دل کی بیماری کا خطرہ بڑھتا ہے۔",,"Tłuszcze trans: {transFat}g na 100g. WHO zaleca ograniczenie tłuszczów trans do mniej niż 1% całkowitego spożycia energii. Tłuszcze trans podnoszą poziom cholesterolu LDL („złego”) i obniżają poziom cholesterolu HDL („dobrego”), zwiększając ryzyko chorób serca.",,
detail.drroot.transfat.low,js_template,,"Trans fat: {transFat}g per 100g. Low level, but the WHO recommends eliminating industrially produced trans fats from the food supply entirely.",ٹرانس چکنائی: فی 100g میں {transFat}g۔ کم سطح، لیکن WHO کی سفارش ہے کہ صنعتی طور پر تیار کردہ ٹرانس چکنائیوں کو خوراک کی فراہمی سے مکمل طور پر ختم کر دیا جائے۔,,"Tłuszcze trans: {transFat}g na 100g. Niski poziom, ale WHO zaleca całkowite wyeliminowanie przemysłowo produkowanych tłuszczów trans z żywności.",,
detail.drroot.transfat.none,js_literal,,Trans fat: none detected. Good — trans fats are the most harmful type of dietary fat.,ٹرانس چکنائی: کوئی نہیں ملی۔ اچھا — ٹرانس چکنائیاں غذائی چکنائی کی سب سے نقصان دہ قسم ہیں۔,,Tłuszcze trans: nie wykryto. Dobrze – tłuszcze trans to najbardziej szkodliwy rodzaj tłuszczu w diecie.,,
detail.drroot.cholesterol.high,js_template,HEALTH-CHECK,"Cholesterol: {cholMg}mg per 100g. This is relatively high. While dietary cholesterol has less impact than previously thought, the NHS still recommends keeping intake moderate, especially if you have heart disease or high cholesterol.",کولیسٹرول: فی 100g میں {cholMg}mg۔ یہ نسبتاً زیادہ ہے۔ اگرچہ غذائی کولیسٹرول کا اثر پہلے کی سوچ سے کم ہے، NHS اب بھی سفارش کرتا ہے کہ مقدار اعتدال میں رکھی جائے، خاص طور پر اگر آپ کو دل کی بیماری یا بلند کولیسٹرول ہو۔,,"Cholesterol: {cholMg}mg na 100g. To stosunkowo wysoko. Choć cholesterol z diety ma mniejszy wpływ, niż wcześniej sądzono, NHS nadal zaleca utrzymywanie umiarkowanego spożycia, szczególnie jeśli masz chorobę serca lub wysoki cholesterol.",,
detail.drroot.cholesterol.normal,js_template,,Cholesterol: {cholMg}mg per 100g.,کولیسٹرول: فی 100g میں {cholMg}mg۔,,Cholesterol: {cholMg}mg na 100g.,,
detail.drroot.sodium,js_template,HEALTH-CHECK,"Sodium: {sodiumMg}mg per 100g (salt = sodium × 2.5). The NHS recommends no more than 2,400mg sodium per day.","سوڈیم: فی 100g میں {sodiumMg}mg (نمک = سوڈیم × 2.5)۔ NHS کی سفارش ہے کہ روزانہ 2,400mg سے زیادہ سوڈیم نہ لیا جائے۔",,"Sód: {sodiumMg}mg na 100g (sól = sód × 2,5). NHS zaleca nie więcej niż 2 400mg sodu dziennie.",,
detail.drroot.sodium.hypertensionSuffix,js_template,HEALTH-CHECK," For hypertension, lower is better — aim for under 1,500mg per day."," بلند فشارِ خون کے لیے، کم بہتر ہے — روزانہ 1,500mg سے کم رکھنے کی کوشش کریں۔",," W przypadku nadciśnienia im mniej, tym lepiej – dąż do mniej niż 1 500mg dziennie.",,appended when profile is hypertension
detail.drroot.calcium,js_template,HEALTH-CHECK,Calcium: {caMg}mg per 100g. Adults need 700mg per day for healthy bones and teeth.,کیلشیم: فی 100g میں {caMg}mg۔ بالغ افراد کو صحت مند ہڈیوں اور دانتوں کے لیے روزانہ 700mg کی ضرورت ہوتی ہے۔,,Wapń: {caMg}mg na 100g. Dorośli potrzebują 700mg dziennie dla zdrowych kości i zębów.,,
detail.drroot.calcium.goodSourceSuffix,js_template,, This is a good source of calcium., یہ کیلشیم کا ایک اچھا ذریعہ ہے۔,, To dobre źródło wapnia.,,appended when calcium*1000 > 120
detail.drroot.iron,js_template,HEALTH-CHECK,"Iron: {feMg}mg per 100g. Men need 8.7mg per day, women (19-50) need 14.8mg per day.",آئرن: فی 100g میں {feMg}mg۔ مردوں کو روزانہ 8.7mg اور خواتین (19-50) کو روزانہ 14.8mg کی ضرورت ہوتی ہے۔,,"Żelazo: {feMg}mg na 100g. Mężczyźni potrzebują 8,7mg dziennie, kobiety (19–50 lat) potrzebują 14,8mg dziennie.",,
detail.drroot.iron.usefulSourceSuffix,js_template,, This is a useful source of iron., یہ آئرن کا ایک مفید ذریعہ ہے۔,, To przydatne źródło żelaza.,,appended when iron*1000 > 2.1
